Sentence,Action,Room,Object
proceed near the water,go,unknown,water
look for the beverage inside the parlor,get,living room,beverage
get the orange,get,unknown,orange
move toward the bath,go,bathroom,unknown
present what's there beverage around the my room,describe,bedroom,beverage
where are the orange,question,unknown,orange
head near the chips,go,unknown,chips
navigate by the bathroom,go,bathroom,unknown
place a banana around the bedroom,place,bedroom,banana
answer are the object near the parlor,question,living room,unknown
how is the crackers from the pantry,question,kitchen,crackers
move over to the carrots by the canteen,go,kitchen,carrots
present every detail water,describe,unknown,water
what are you tell chips in the kitchen,question,kitchen,chips
navigate towards the beverage close to the parlor,go,living room,beverage
clear away the beverage inside the bathroom,place,bathroom,beverage
how you tell corn around the pantry,question,kitchen,corn
clear away a tuna around the bathroom,place,bathroom,tuna
express in details item by the my room,describe,bedroom,unknown
proceed towards the crackers by the pantry,go,kitchen,crackers
specify what's there item from the bedroom,describe,bedroom,unknown
present in details water,describe,unknown,water
question is the vegetables in the kitchen,question,kitchen,vegetables
tell every detail peas by the bath,describe,bathroom,peas
navigate toward the bath,go,bathroom,unknown
present in details tuna,describe,unknown,tuna
head by the vegetables,go,unknown,vegetables
bring me a vegetables,get,unknown,vegetables
clear away the soda near the canteen,place,kitchen,soda
report in details apple by the bath,describe,bathroom,apple
how are the chips,question,unknown,chips
tell everything you see item near the bedroom,describe,bedroom,unknown
clear a water close to the sitting room,place,living room,water
specify what's there cookies,describe,unknown,cookies
tell every detail orange from the bath,describe,bathroom,orange
bring some chips by the parlor,get,living room,chips
fetch me the orange around the bath,get,bathroom,orange
question you do item around the parlor,question,living room,unknown
grab the cookies inside the my room,get,bedroom,cookies
tell what you see tomato by the living room,describe,living room,tomato
could you tell object around the bath,question,bathroom,unknown
throw away a cookies close to the bedroom,place,bedroom,cookies
put back the banana,place,unknown,banana
get me an apple around the sitting room,get,living room,apple
go towards the apple close to the sitting room,go,living room,apple
describe what you see peas close to the living room,describe,living room,peas
head by the orange from the canteen,go,kitchen,orange
tell everything you see tomato around the bath,describe,bathroom,tomato
clean the orange,place,unknown,orange
specify everything you see carrots by the kitchen,describe,kitchen,carrots
how is the banana around the sitting room,question,living room,banana
report everything you see chips in the canteen,describe,kitchen,chips
explain in details tomato,describe,unknown,tomato
navigate over to the living room,go,living room,unknown
what is are the apple close to the bathroom,question,bathroom,apple
find a banana close to the sitting room,get,living room,banana
report in details beverage,describe,unknown,beverage
proceed towards the orange,go,unknown,orange
what is are the orange inside the canteen,question,kitchen,orange
specify what's there crackers in the living room,describe,living room,crackers
look for a corn inside the sitting room,get,living room,corn
answer is the thing inside the pantry,question,kitchen,unknown
drive over by the banana inside the sitting room,go,living room,banana
answer you tell beverage from the canteen,question,kitchen,beverage
move near the beverage inside the my room,go,bedroom,beverage
pick up the peas,get,unknown,peas
go to the parlor,go,living room,unknown
identify a soda,get,unknown,soda
place an apple,place,unknown,apple
tell in details orange inside the living room,describe,living room,orange
grab me a tomato by the kitchen,get,kitchen,tomato
present what's there water,describe,unknown,water
specify what's there chips around the parlor,describe,living room,chips
tidy a chips from the pantry,place,kitchen,chips
question you do water in the canteen,question,kitchen,water
clear away the crackers close to the bedroom,place,bedroom,crackers
could you tell crackers from the my room,question,bedroom,crackers
place a tomato near the pantry,place,kitchen,tomato
could you do peas near the bath,question,bathroom,peas
clear the corn around the parlor,place,living room,corn
where you tell tuna close to the bathroom,question,bathroom,tuna
clear an object in the bathroom,place,bathroom,unknown
fetch me the chips,get,unknown,chips
clear away the chips,place,unknown,chips
would you do object by the parlor,question,living room,unknown
describe what you see chips,describe,unknown,chips
tidy the orange,place,unknown,orange
describe in details peas from the canteen,describe,kitchen,peas
tidy the banana,place,unknown,banana
take a soda from the living room,place,living room,soda
find some thing from the my room,get,bedroom,unknown
move by the water around the my room,go,bedroom,water
take the cookies close to the my room,place,bedroom,cookies
clear a carrots from the my room,place,bedroom,carrots
go toward the parlor,go,living room,unknown
head near the tuna in the bath,go,bathroom,tuna
what are you tell peas from the kitchen,question,kitchen,peas
how are the crackers in the sitting room,question,living room,crackers
where you do tuna in the parlor,question,living room,tuna
what is you do beverage inside the my room,question,bedroom,beverage
explain in details apple,describe,unknown,apple
express every detail chips,describe,unknown,chips
head towards the parlor,go,living room,unknown
what is you tell beverage near the bath,question,bathroom,beverage
how is the crackers close to the bath,question,bathroom,crackers
specify what you see orange close to the sitting room,describe,living room,orange
fetch me some crackers near the bath,get,bathroom,crackers
where are the item close to the canteen,question,kitchen,unknown
express everything you see banana inside the bathroom,describe,bathroom,banana
could you do water in the parlor,question,living room,water
head by the carrots,go,unknown,carrots
could are the banana by the parlor,question,living room,banana
drive to the pantry,go,kitchen,unknown
go near the soda around the living room,go,living room,soda
drive over to the banana,go,unknown,banana
what are you tell thing inside the my room,question,bedroom,unknown
where are the chips inside the my room,question,bedroom,chips
get a cookies around the kitchen,get,kitchen,cookies
clean up the chips around the bath,place,bathroom,chips
tidy up the orange near the bathroom,place,bathroom,orange
locate some tomato around the bathroom,get,bathroom,tomato
explain everything you see orange,describe,unknown,orange
throw out an object by the bedroom,place,bedroom,unknown
throw away the vegetables in the my room,place,bedroom,vegetables
navigate by the vegetables,go,unknown,vegetables
what are is the carrots by the bedroom,question,bedroom,carrots
find some peas around the living room,get,living room,peas
would you tell tuna by the bath,question,bathroom,tuna
clean a tuna by the my room,place,bedroom,tuna
locate the water,get,unknown,water
tell every detail object in the pantry,describe,kitchen,unknown
tell what's there beverage,describe,unknown,beverage
report what's there banana by the pantry,describe,kitchen,banana
would is the vegetables from the sitting room,question,living room,vegetables
identify the tuna around the bathroom,get,bathroom,tuna
tell what you see apple near the bedroom,describe,bedroom,apple
fetch some beverage around the canteen,get,kitchen,beverage
get the thing by the my room,get,bedroom,unknown
what are are the orange inside the parlor,question,living room,orange
move by the water near the my room,go,bedroom,water
tell everything you see beverage in the my room,describe,bedroom,beverage
clear away the soda close to the sitting room,place,living room,soda
report every detail tuna by the living room,describe,living room,tuna
clear the beverage inside the bathroom,place,bathroom,beverage
move over to the chips close to the sitting room,go,living room,chips
navigate over to the water around the bedroom,go,bedroom,water
take the object around the my room,place,bedroom,unknown
tell every detail tuna close to the parlor,describe,living room,tuna
question you tell vegetables inside the bedroom,question,bedroom,vegetables
move by the living room,go,living room,unknown
report every detail orange,describe,unknown,orange
pick up some orange by the my room,get,bedroom,orange
explain every detail banana by the sitting room,describe,living room,banana
take a chips around the my room,place,bedroom,chips
what is you tell peas in the bathroom,question,bathroom,peas
would you do water from the bath,question,bathroom,water
go over to the tomato,go,unknown,tomato
what are you tell banana close to the bathroom,question,bathroom,banana
tidy up a soda,place,unknown,soda
present what's there tomato near the parlor,describe,living room,tomato
tidy the carrots near the my room,place,bedroom,carrots
tidy up the tuna inside the pantry,place,kitchen,tuna
throw away the soda,place,unknown,soda
would you tell beverage in the bath,question,bathroom,beverage
clean the beverage near the parlor,place,living room,beverage
question are the cookies in the bath,question,bathroom,cookies
pick up the orange,get,unknown,orange
search for the carrots near the my room,get,bedroom,carrots
what is you tell carrots,question,unknown,carrots
bring some peas from the living room,get,living room,peas
throw out a beverage by the living room,place,living room,beverage
explain in details object from the parlor,describe,living room,unknown
specify what's there thing close to the sitting room,describe,living room,unknown
go over by the sitting room,go,living room,unknown
get a crackers in the bathroom,get,bathroom,crackers
express everything you see banana around the sitting room,describe,living room,banana
what is are the vegetables by the parlor,question,living room,vegetables
take an orange inside the sitting room,place,living room,orange
question you tell tomato in the bedroom,question,bedroom,tomato
how you tell thing by the bathroom,question,bathroom,unknown
would is the crackers close to the bedroom,question,bedroom,crackers
identify some carrots from the bath,get,bathroom,carrots
express in details soda close to the pantry,describe,kitchen,soda
retrieve a cookies in the canteen,get,kitchen,cookies
where you tell crackers,question,unknown,crackers
find a beverage inside the bathroom,get,bathroom,beverage
get me a tomato,get,unknown,tomato
place a vegetables by the bathroom,place,bathroom,vegetables
would you tell chips from the canteen,question,kitchen,chips
tidy up the water close to the parlor,place,living room,water
grab the item in the bath,get,bathroom,unknown
find the cookies in the kitchen,get,kitchen,cookies
tidy up the cookies around the parlor,place,living room,cookies
identify an apple around the kitchen,get,kitchen,apple
put away the water close to the parlor,place,living room,water
report every detail orange close to the canteen,describe,kitchen,orange
get me the carrots inside the bedroom,get,bedroom,carrots
report everything you see crackers close to the kitchen,describe,kitchen,crackers
present every detail orange close to the canteen,describe,kitchen,orange
clean up a beverage close to the bathroom,place,bathroom,beverage
get some chips close to the bedroom,get,bedroom,chips
explain every detail orange,describe,unknown,orange
could you tell apple by the parlor,question,living room,apple
specify in details water near the bath,describe,bathroom,water
how are the item close to the my room,question,bedroom,unknown
get me a crackers in the living room,get,living room,crackers
store the orange,place,unknown,orange
go toward the corn around the bath,go,bathroom,corn
would you tell apple in the bath,question,bathroom,apple
specify everything you see soda close to the bedroom,describe,bedroom,soda
fetch some item inside the kitchen,get,kitchen,unknown
what is is the beverage close to the bath,question,bathroom,beverage
present in details item from the parlor,describe,living room,unknown
express in details banana,describe,unknown,banana
explain every detail crackers in the bedroom,describe,bedroom,crackers
throw away a water by the my room,place,bedroom,water
get a chips inside the bathroom,get,bathroom,chips
store a peas around the bathroom,place,bathroom,peas
take a cookies around the bedroom,place,bedroom,cookies
place a beverage close to the my room,place,bedroom,beverage
search for some banana by the parlor,get,living room,banana
grab me the crackers inside the bath,get,bathroom,crackers
could are the peas by the kitchen,question,kitchen,peas
grab some chips,get,unknown,chips
bring a soda by the bedroom,get,bedroom,soda
clear away a crackers close to the canteen,place,kitchen,crackers
put away a carrots from the pantry,place,kitchen,carrots
express every detail vegetables,describe,unknown,vegetables
retrieve some chips,get,unknown,chips
go by the orange inside the bathroom,go,bathroom,orange
would you do vegetables from the bedroom,question,bedroom,vegetables
get the vegetables,get,unknown,vegetables
look for some cookies close to the pantry,get,kitchen,cookies
could you do vegetables around the bedroom,question,bedroom,vegetables
question you do object around the bedroom,question,bedroom,unknown
how are the thing inside the parlor,question,living room,unknown
put away a beverage close to the sitting room,place,living room,beverage
tell what's there object close to the living room,describe,living room,unknown
report what's there cookies in the pantry,describe,kitchen,cookies
what is you tell orange close to the bathroom,question,bathroom,orange
could you do beverage close to the bedroom,question,bedroom,beverage
grab me some chips,get,unknown,chips
go to the orange in the bathroom,go,bathroom,orange
tidy up an item near the living room,place,living room,unknown
bring a carrots,get,unknown,carrots
clear away a beverage,place,unknown,beverage
take the corn around the bath,place,bathroom,corn
how you tell corn by the canteen,question,kitchen,corn
throw away an apple in the canteen,place,kitchen,apple
answer are the orange from the parlor,question,living room,orange
proceed over by the bathroom,go,bathroom,unknown
look for some object by the bedroom,get,bedroom,unknown
go by the cookies inside the canteen,go,kitchen,cookies
question is the cookies by the bath,question,bathroom,cookies
proceed to the cookies from the parlor,go,living room,cookies
find me a water close to the canteen,get,kitchen,water
present what's there chips close to the pantry,describe,kitchen,chips
head by the apple in the sitting room,go,living room,apple
would is the vegetables,question,unknown,vegetables
get me some orange in the kitchen,get,kitchen,orange
what is are the water around the bath,question,bathroom,water
how you do thing in the kitchen,question,kitchen,unknown
pick up a water from the bath,get,bathroom,water
explain in details peas near the parlor,describe,living room,peas
proceed to the corn close to the bathroom,go,bathroom,corn
answer you tell carrots by the canteen,question,kitchen,carrots
answer is the banana in the canteen,question,kitchen,banana
head by the pantry,go,kitchen,unknown
describe what you see apple from the sitting room,describe,living room,apple
clear the tuna inside the bath,place,bathroom,tuna
move over by the banana in the canteen,go,kitchen,banana
move over to the apple,go,unknown,apple
store the corn inside the my room,place,bedroom,corn
put away a tomato,place,unknown,tomato
proceed towards the living room,go,living room,unknown
find the tomato in the pantry,get,kitchen,tomato
drive over by the cookies from the bedroom,go,bedroom,cookies
proceed near the cookies from the canteen,go,kitchen,cookies
drive toward the banana in the bedroom,go,bedroom,banana
where you do object in the sitting room,question,living room,unknown
clean the cookies inside the my room,place,bedroom,cookies
where are the beverage,question,unknown,beverage
tell everything you see soda by the bathroom,describe,bathroom,soda
would are the soda close to the bedroom,question,bedroom,soda
clear away the item near the living room,place,living room,unknown
locate a water,get,unknown,water
describe what's there tuna inside the sitting room,describe,living room,tuna
describe every detail thing around the bathroom,describe,bathroom,unknown
clean up the cookies by the bath,place,bathroom,cookies
retrieve an apple in the my room,get,bedroom,apple
would are the water close to the kitchen,question,kitchen,water
express what you see vegetables close to the bedroom,describe,bedroom,vegetables
clean up an object around the my room,place,bedroom,unknown
tell everything you see carrots near the sitting room,describe,living room,carrots
get the crackers by the kitchen,get,kitchen,crackers
identify the soda,get,unknown,soda
report everything you see tuna in the canteen,describe,kitchen,tuna
proceed near the orange,go,unknown,orange
tell what you see chips,describe,unknown,chips
get a tuna close to the bedroom,get,bedroom,tuna
throw away a corn,place,unknown,corn
drive over to the beverage from the bathroom,go,bathroom,beverage
clean the cookies near the parlor,place,living room,cookies
how are the beverage close to the living room,question,living room,beverage
place a water,place,unknown,water
present in details crackers inside the bathroom,describe,bathroom,crackers
head towards the carrots,go,unknown,carrots
explain in details tuna from the canteen,describe,kitchen,tuna
specify what's there thing in the bedroom,describe,bedroom,unknown
present what's there crackers around the bath,describe,bathroom,crackers
could you do tomato close to the bathroom,question,bathroom,tomato
express what you see chips around the bedroom,describe,bedroom,chips
how you tell water near the bath,question,bathroom,water
specify what you see crackers close to the bathroom,describe,bathroom,crackers
move toward the apple close to the bedroom,go,bedroom,apple
drive by the apple near the sitting room,go,living room,apple
tell in details carrots inside the pantry,describe,kitchen,carrots
grab some apple near the pantry,get,kitchen,apple
bring some object around the bath,get,bathroom,unknown
answer you tell beverage,question,unknown,beverage
bring me the water close to the bathroom,get,bathroom,water
how is the banana inside the parlor,question,living room,banana
retrieve the peas,get,unknown,peas
could are the banana close to the bedroom,question,bedroom,banana
get the orange in the living room,get,living room,orange
explain what's there crackers,describe,unknown,crackers
head to the chips close to the bath,go,bathroom,chips
proceed near the beverage from the bath,go,bathroom,beverage
explain everything you see water by the my room,describe,bedroom,water
get an apple in the bathroom,get,bathroom,apple
proceed near the crackers,go,unknown,crackers
present everything you see soda by the bathroom,describe,bathroom,soda
answer is the tomato,question,unknown,tomato
could you do object by the bath,question,bathroom,unknown
express what's there soda close to the bath,describe,bathroom,soda
drive towards the crackers by the kitchen,go,kitchen,crackers
throw out the soda,place,unknown,soda
could you do soda close to the kitchen,question,kitchen,soda
throw out the apple inside the bedroom,place,bedroom,apple
move by the bathroom,go,bathroom,unknown
retrieve a beverage around the bedroom,get,bedroom,beverage
specify every detail chips from the parlor,describe,living room,chips
answer you tell orange from the kitchen,question,kitchen,orange
proceed towards the beverage by the canteen,go,kitchen,beverage
what is are the carrots close to the bedroom,question,bedroom,carrots
look for some chips by the parlor,get,living room,chips
tidy the apple from the living room,place,living room,apple
describe everything you see crackers in the parlor,describe,living room,crackers
question you tell corn around the canteen,question,kitchen,corn
head to the orange,go,unknown,orange
head to the vegetables,go,unknown,vegetables
clean a beverage by the bedroom,place,bedroom,beverage
present in details vegetables,describe,unknown,vegetables
clear the chips from the pantry,place,kitchen,chips
put away a beverage,place,unknown,beverage
where you do banana,question,unknown,banana
move towards the cookies,go,unknown,cookies
tell every detail apple close to the bathroom,describe,bathroom,apple
grab me the tuna inside the canteen,get,kitchen,tuna
how is the apple from the parlor,question,living room,apple
tell what you see vegetables in the canteen,describe,kitchen,vegetables
locate the thing from the bedroom,get,bedroom,unknown
what is is the chips by the parlor,question,living room,chips
describe what you see thing from the bedroom,describe,bedroom,unknown
explain in details orange from the kitchen,describe,kitchen,orange
move by the corn close to the my room,go,bedroom,corn
take an item around the bedroom,place,bedroom,unknown
tidy up a tomato,place,unknown,tomato
retrieve the apple from the bathroom,get,bathroom,apple
head near the apple close to the canteen,go,kitchen,apple
throw away the apple,place,unknown,apple
how is the orange by the kitchen,question,kitchen,orange
throw out a water in the parlor,place,living room,water
clear away the object by the pantry,place,kitchen,unknown
put back an orange in the sitting room,place,living room,orange
clean up the crackers close to the parlor,place,living room,crackers
present in details chips from the pantry,describe,kitchen,chips
tidy up a peas by the bedroom,place,bedroom,peas
express every detail chips from the bathroom,describe,bathroom,chips
pick up a beverage inside the kitchen,get,kitchen,beverage
go over by the water around the kitchen,go,kitchen,water
describe what you see water,describe,unknown,water
bring some chips by the kitchen,get,kitchen,chips
how are the apple around the sitting room,question,living room,apple
navigate over by the crackers inside the canteen,go,kitchen,crackers
tidy the banana in the living room,place,living room,banana
take the cookies in the bedroom,place,bedroom,cookies
take a crackers by the living room,place,living room,crackers
take a thing close to the parlor,place,living room,unknown
bring me a soda,get,unknown,soda
search for some apple around the bathroom,get,bathroom,apple
explain everything you see water in the bath,describe,bathroom,water
answer you tell soda in the my room,question,bedroom,soda
fetch me some vegetables close to the pantry,get,kitchen,vegetables
express everything you see soda inside the bathroom,describe,bathroom,soda
specify everything you see beverage,describe,unknown,beverage
answer you do object close to the bedroom,question,bedroom,unknown
take the carrots close to the kitchen,place,kitchen,carrots
put back the water around the parlor,place,living room,water
what are is the thing close to the living room,question,living room,unknown
throw out a soda in the living room,place,living room,soda
identify the soda from the bath,get,bathroom,soda
take an apple from the living room,place,living room,apple
tidy a banana from the bath,place,bathroom,banana
place the banana from the living room,place,living room,banana
place a chips close to the my room,place,bedroom,chips
put back the tuna in the bath,place,bathroom,tuna
tidy a beverage near the bedroom,place,bedroom,beverage
identify some cookies around the bedroom,get,bedroom,cookies
put back the banana around the bathroom,place,bathroom,banana
bring me some carrots near the parlor,get,living room,carrots
head near the corn close to the bath,go,bathroom,corn
describe what you see soda by the canteen,describe,kitchen,soda
how is the tomato by the bedroom,question,bedroom,tomato
tidy an apple close to the bathroom,place,bathroom,apple
fetch me a beverage near the my room,get,bedroom,beverage
where you do cookies by the kitchen,question,kitchen,cookies
describe every detail chips around the pantry,describe,kitchen,chips
clean the water around the bathroom,place,bathroom,water
where you tell water inside the kitchen,question,kitchen,water
report what you see object in the bath,describe,bathroom,unknown
move over by the kitchen,go,kitchen,unknown
report every detail peas,describe,unknown,peas
could are the crackers from the pantry,question,kitchen,crackers
present in details beverage near the bathroom,describe,bathroom,beverage
report what's there banana in the living room,describe,living room,banana
grab the banana near the canteen,get,kitchen,banana
identify the crackers close to the living room,get,living room,crackers
head to the soda from the bathroom,go,bathroom,soda
where are the item from the bedroom,question,bedroom,unknown
drive to the apple,go,unknown,apple
explain what's there tuna from the kitchen,describe,kitchen,tuna
specify every detail water by the bath,describe,bathroom,water
tell what's there vegetables,describe,unknown,vegetables
drive towards the chips in the parlor,go,living room,chips
tidy a banana by the living room,place,living room,banana
clean the soda from the canteen,place,kitchen,soda
what is are the tuna,question,unknown,tuna
how you tell crackers from the kitchen,question,kitchen,crackers
tell in details thing from the bedroom,describe,bedroom,unknown
find me the apple inside the pantry,get,kitchen,apple
present everything you see vegetables around the living room,describe,living room,vegetables
grab me the soda by the bath,get,bathroom,soda
proceed to the banana by the kitchen,go,kitchen,banana
throw out a crackers around the canteen,place,kitchen,crackers
bring a chips close to the my room,get,bedroom,chips
throw out the beverage,place,unknown,beverage
clean a soda,place,unknown,soda
get some vegetables inside the my room,get,bedroom,vegetables
question you do water,question,unknown,water
find the orange from the kitchen,get,kitchen,orange
would is the banana close to the bathroom,question,bathroom,banana
express in details vegetables in the bath,describe,bathroom,vegetables
fetch the corn,get,unknown,corn
retrieve an object around the my room,get,bedroom,unknown
where are the soda inside the sitting room,question,living room,soda
clean a vegetables,place,unknown,vegetables
clean the tomato by the canteen,place,kitchen,tomato
drive to the banana in the canteen,go,kitchen,banana
what are are the banana from the my room,question,bedroom,banana
proceed over to the tomato near the sitting room,go,living room,tomato
how is the banana,question,unknown,banana
specify in details crackers inside the pantry,describe,kitchen,crackers
proceed by the orange inside the my room,go,bedroom,orange
clear a peas from the bath,place,bathroom,peas
proceed toward the crackers from the kitchen,go,kitchen,crackers
drive over by the orange by the bath,go,bathroom,orange
describe what's there water from the canteen,describe,kitchen,water
head by the tuna,go,unknown,tuna
present every detail tomato,describe,unknown,tomato
head by the banana near the pantry,go,kitchen,banana
proceed to the soda around the sitting room,go,living room,soda
report everything you see soda near the kitchen,describe,kitchen,soda
navigate toward the chips,go,unknown,chips
drive over by the chips around the parlor,go,living room,chips
go toward the chips near the living room,go,living room,chips
tidy the chips in the sitting room,place,living room,chips
throw out an apple by the my room,place,bedroom,apple
store the thing in the bedroom,place,bedroom,unknown
question are the tuna,question,unknown,tuna
navigate over to the carrots,go,unknown,carrots
clean an object in the kitchen,place,kitchen,unknown
what are you do beverage,question,unknown,beverage
what are are the tomato from the canteen,question,kitchen,tomato
what are you tell orange close to the my room,question,bedroom,orange
grab me a banana around the bedroom,get,bedroom,banana
tell in details item by the canteen,describe,kitchen,unknown
proceed by the chips near the parlor,go,living room,chips
proceed over by the peas near the my room,go,bedroom,peas
express every detail cookies close to the bedroom,describe,bedroom,cookies
could are the apple inside the bath,question,bathroom,apple
pick up the water close to the bedroom,get,bedroom,water
describe in details crackers near the my room,describe,bedroom,crackers
grab me some beverage,get,unknown,beverage
report what's there object by the bathroom,describe,bathroom,unknown
tell every detail cookies around the canteen,describe,kitchen,cookies
place the item from the parlor,place,living room,unknown
explain what's there chips in the bath,describe,bathroom,chips
describe every detail chips near the bedroom,describe,bedroom,chips
answer you tell item from the bath,question,bathroom,unknown
bring the peas,get,unknown,peas
explain every detail beverage inside the living room,describe,living room,beverage
describe in details item from the bedroom,describe,bedroom,unknown
get a banana in the living room,get,living room,banana
describe everything you see banana in the sitting room,describe,living room,banana
present every detail thing near the bedroom,describe,bedroom,unknown
bring some soda inside the my room,get,bedroom,soda
grab some banana in the sitting room,get,living room,banana
where you do item in the parlor,question,living room,unknown
specify every detail apple,describe,unknown,apple
question you tell chips close to the sitting room,question,living room,chips
put away the soda inside the bedroom,place,bedroom,soda
store the banana near the bathroom,place,bathroom,banana
fetch the orange around the pantry,get,kitchen,orange
tidy up a chips from the living room,place,living room,chips
navigate over to the apple close to the my room,go,bedroom,apple
proceed to the beverage near the sitting room,go,living room,beverage
head towards the cookies,go,unknown,cookies
where you do soda inside the sitting room,question,living room,soda
retrieve some thing close to the canteen,get,kitchen,unknown
take a chips around the bathroom,place,bathroom,chips
tidy up the cookies,place,unknown,cookies
would you tell orange in the sitting room,question,living room,orange
navigate toward the crackers in the canteen,go,kitchen,crackers
identify a beverage in the sitting room,get,living room,beverage
what is is the peas in the my room,question,bedroom,peas
grab me the crackers inside the parlor,get,living room,crackers
present in details orange by the bath,describe,bathroom,orange
get a soda in the bath,get,bathroom,soda
what is you do object near the pantry,question,kitchen,unknown
pick up a water by the bathroom,get,bathroom,water
take a chips by the pantry,place,kitchen,chips
specify every detail cookies,describe,unknown,cookies
drive to the soda inside the my room,go,bedroom,soda
what are is the vegetables close to the parlor,question,living room,vegetables
throw out the cookies by the kitchen,place,kitchen,cookies
get a cookies from the canteen,get,kitchen,cookies
get me some thing in the pantry,get,kitchen,unknown
explain every detail beverage in the bath,describe,bathroom,beverage
describe every detail orange,describe,unknown,orange
fetch me the carrots near the pantry,get,kitchen,carrots
locate a cookies close to the my room,get,bedroom,cookies
move to the vegetables,go,unknown,vegetables
explain everything you see cookies inside the sitting room,describe,living room,cookies
present what you see orange by the bathroom,describe,bathroom,orange
explain every detail thing from the living room,describe,living room,unknown
find me a beverage near the canteen,get,kitchen,beverage
report what's there water inside the bedroom,describe,bedroom,water
tell what's there chips from the parlor,describe,living room,chips
fetch me the crackers near the bedroom,get,bedroom,crackers
explain everything you see beverage near the my room,describe,bedroom,beverage
place a crackers by the bathroom,place,bathroom,crackers
drive by the tuna inside the canteen,go,kitchen,tuna
what is you tell apple by the sitting room,question,living room,apple
fetch a chips by the bath,get,bathroom,chips
find me some item inside the bedroom,get,bedroom,unknown
drive by the tomato close to the pantry,go,kitchen,tomato
clean up the tuna in the canteen,place,kitchen,tuna
proceed over to the bedroom,go,bedroom,unknown
bring me some thing near the bedroom,get,bedroom,unknown
explain what you see banana from the sitting room,describe,living room,banana
put away a cookies,place,unknown,cookies
describe what you see orange by the sitting room,describe,living room,orange
put away an apple close to the bathroom,place,bathroom,apple
clean the apple from the bathroom,place,bathroom,apple
could are the thing inside the bathroom,question,bathroom,unknown
find me some cookies close to the canteen,get,kitchen,cookies
drive towards the banana in the parlor,go,living room,banana
go over by the peas in the canteen,go,kitchen,peas
pick up the apple inside the kitchen,get,kitchen,apple
tidy the apple in the bathroom,place,bathroom,apple
express every detail corn close to the bedroom,describe,bedroom,corn
go toward the tomato around the bedroom,go,bedroom,tomato
drive by the orange by the parlor,go,living room,orange
drive over to the orange close to the canteen,go,kitchen,orange
head near the bath,go,bathroom,unknown
drive over by the soda inside the bathroom,go,bathroom,soda
tell what's there item around the sitting room,describe,living room,unknown
where are the crackers from the bedroom,question,bedroom,crackers
go near the water,go,unknown,water
tell in details soda around the living room,describe,living room,soda
bring some cookies,get,unknown,cookies
present everything you see water by the bath,describe,bathroom,water
take a beverage inside the pantry,place,kitchen,beverage
clean up a water,place,unknown,water
retrieve some tomato by the bathroom,get,bathroom,tomato
move by the beverage in the living room,go,living room,beverage
answer is the thing from the my room,question,bedroom,unknown
proceed over by the crackers near the bedroom,go,bedroom,crackers
bring some tomato near the pantry,get,kitchen,tomato
retrieve some vegetables,get,unknown,vegetables
question are the vegetables near the parlor,question,living room,vegetables
search for the carrots near the sitting room,get,living room,carrots
fetch an orange near the bathroom,get,bathroom,orange
could are the carrots from the pantry,question,kitchen,carrots
move over to the chips by the sitting room,go,living room,chips
tell what's there apple close to the pantry,describe,kitchen,apple
where you tell chips around the bath,question,bathroom,chips
clear a crackers close to the kitchen,place,kitchen,crackers
